ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Precio Calculado,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,TAZA BCV,Taza Paralelo
7695,variation,,Pizza Margarita - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,5,"183,5",,,,,,,id:7693,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7696,variable,,Pizza de Jamón y Queso,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella y jamón.","Si te gustan las pizzas sencillas pero sabrosas, esta es la opción ideal para ti. Una pizza con una masa casera, cubierta con nuestra salsa de la casa, una capa de queso mozzarella y jamón. Una combinación de sabores que te hará repetir.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/PIZZA_JYQ.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7697,variation,,Pizza de Jamón y Queso - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,3,"110,1",,,,,,,id:7696,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7698,variation,,Pizza de Jamón y Queso - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,5,"183,5",,,,,,,id:7696,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7699,variable,,Pizza Tocineta,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, tocineta.","Salsa, queso y tocineta. Los tres ingredientes que hacen de esta pizza una delicia para el paladar. La salsa de la casa está elaborada con ingredientes naturales y le da un sabor único a la masa, el queso mozzarella se funde en cada porción y la tocineta aporta el punto crujiente y salado que contrasta con el dulzor de la salsa. Una pizza que no te dejará indiferente.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Pizza-de-Tocineta.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7700,variation,,Pizza Tocineta - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para compartir en pareja o solo.",,,taxable,parent,1,,,0,0,,,,,0,,,4,"146,8",,,,,,,id:7699,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7701,variation,,Pizza Tocineta - Grande,1,0,visible,,"La pizza mediana trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"7,5","275,25",,,,,,,id:7699,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7702,variable,,Pizza Vegetales,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, maíz, champiñones, aceitunas negras, pimentón y cebolla.","Si te gustan los sabores naturales y nutritivos, esta pizza de vegetales es para ti. Está elaborada con una deliciosa salsa de la casa, queso mozzarella derretido y una combinación de champiñones, maíz, aceitunas negras, cebolla y pimentón. Cada bocado te hará sentir el gusto de los vegetales recién cortados y la masa crujiente. Es una opción ideal para compartir con tu familia o amigos.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/vegetales.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7703,variation,,Pizza Vegetales - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,4,"146,8",,,,,,,id:7702,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7704,variation,,Pizza Vegetales - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"7,5","275,25",,,,,,,id:7702,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7705,variable,,Pizza Mediterránea,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, champiñones, aceitunas negras, tomates confitados, pepperoni o salchichón.","Si te gustan los sabores intensos y variados, no te pierdas nuestra pizza mediterránea. Elaborada con salsa de la casa, queso mozzarella, salchichón o pepperoni, champiñones, tomates confitados y aceitunas negras. Una combinación perfecta que te dejará con gana de más.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú La Brioche Café & Market, Menú Le Petit Brioche",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Pizza-Mediterranea.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7706,variation,,Pizza Mediterránea - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,6,"220,2",,,,,,,id:7705,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7707,variation,,Pizza Mediterránea - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"9,5","348,65",,,,,,,id:7705,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7708,variable,,Pizza Napolitana,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, anchoas, tomates confitados, pimentón y queso pecorino.","Disfruta de una Pizza Napolitana, una obra maestra de la gastronomía italiana. Esta pizza tiene una base crujiente y esponjosa, cubierta con una salsa de la casa hecha con tomates frescos y hierbas aromáticas. Encima, una capa de queso mozzarella fundido que se mezcla con el sabor salado de las anchoas, el toque picante del pimentón, el dulzor de los tomates confitados y el aroma del queso pecorino. Una pizza que no te dejará indiferente.",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/pizza-napolitana.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7709,variation,,Pizza Napolitana - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,"3,5","128,45",,,,,,,id:7708,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7710,variation,,Pizza Napolitana - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"7,5","275,25",,,,,,,id:7708,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7711,variable,,Pizza Zendaya,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, tocineta, salchichón, cebolla caramelizada y queso pecorino.","Si te gustan las pizzas con mucho sabor, no te puedes perder la Pizza Zendaya. Esta pizza tiene una base de salsa de la casa, una mezcla secreta de tomates, hierbas y especias que le da un toque especial. Encima lleva queso mozzarella fundido, salchichón milano cortado en finas lonchas, tocineta crujiente, cebolla caramelizada que aporta un contraste dulce y queso pecorino rallado que le da un punto salado. La Pizza Zendaya es una explosión de sabor en cada bocado. ¡Pruébala y te enamorarás!",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú La Brioche Café & Market, Menú Le Petit Brioche",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/product.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7712,variation,,Pizza Zendaya - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,"4,5","165,15",,,,,,,id:7711,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7713,variation,,Pizza Zendaya - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"9,5","348,65",,,,,,,id:7711,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7714,variable,,Pizza Brioche,1,0,visible,"<h3>Ingredientes:</h3>
\nSalsa de la casa, mozzarella, tocineta, pepperoni, jamón, aceitunas negras, champiñones, cebolla, maíz y pimentón.","Si quieres disfrutar de una pizza única y deliciosa, no puedes dejar de pedir nuestra especial Pizza Brioche. Esta pizza tiene una masa esponjosa y crujiente, cubierta con una salsa de la casa que le da un toque especial. Es una pizza ideal para compartir con tus amigos o familiares, o para darte un capricho. ¡No esperes más y pídela ya!",,,taxable,,1,,,0,0,,,,,1,,,,,Pizzas,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/PIZZA_BRIOCHEl.png,,,,,,,,,0,Tamaño,"Pequeña, Grande",1,0,,,,,,,,,,
7715,variation,,Pizza Brioche - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,"6,5","238,55",,,,,,,id:7714,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7716,variation,,Pizza Brioche - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,"11,5","422,05",,,,,,,id:7714,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7717,simple,,Palmerita Grande,1,0,visible,"Una palmerita grande, crujiente y deliciosa. Un bocado irresistible para los amantes del dulce.","Disfruta de una deliciosa y clásica Palmerita, que con su característica masa de hojaldre, te dejará soñando con más.",,,taxable,,1,,,0,0,,,,,1,,,"1,2","51,78",Panadería y repostería,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Menú Le Petit Brioche, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/palmera.png,,,,,,,,,0,Tamaño,"Grandes, Pequeñas, Grandes con chocolate",1,0,Presentación,"100gr, 250gr, 500gr, 1kg, Individual",1,0,,,,,,
7723,variable,,Galletas de pasta seca,1,0,visible,"Si buscas unas galletas que combinen a la perfección con tu bebida favorita, no te pierdas nuestras galletas de pasta seca. Estas galletas tienen una textura firme y quebradiza, y un sabor suave y dulce, realzado por el aroma de la vainilla. Están hechas siguiendo una receta tradicional especial de la casa. Disfruta de estas galletas en el desayuno, la merienda o como snack, y compártelas con tus seres queridos.","¿Te apetece un bocado crujiente y delicioso? Prueba nuestras galletas de pasta seca, elaboradas con ingredientes naturales y un toque de vainilla. Son ideales para acompañar el café o el té, o para darte un capricho a cualquier hora del día.",,,taxable,,1,,,0,0,,,,,1,,,,,Panadería y repostería,"Delivery, Menú en Tienda, Menú La Brioche Café & Market, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/product.png,,,,,,,,,0,Presentación,"100gr, 250gr, 500gr, 1kg",1,0,,,,,,,,,,
7724,variation,,Galletas de pasta seca - 100gr,1,0,visible,,,,,taxable,parent,1,,,0,0,0.1,,,,0,,,"1,42","61,273",,,,,,,id:7723,,,,,,1,Presentación,100gr,,0,,,,,,,,,,
7725,variation,,Galletas de pasta seca - 250gr,1,0,visible,,,,,taxable,parent,1,,,0,0,0.25,,,,0,,,"3,55","153,1825",,,,,,,id:7723,,,,,,2,Presentación,250gr,,0,,,,,,,,,,
7726,variation,,Galletas de pasta seca - 500gr,1,0,visible,,,,,taxable,parent,1,,,0,0,0.5,,,,0,,,"7,1","306,365",,,,,,,id:7723,,,,,,3,Presentación,500gr,,0,,,,,,,,,,
7727,variation,,Galletas de pasta seca - 1kg,1,0,visible,,,,,taxable,parent,1,,,0,0,1,,,,0,,,"14,2","612,73",,,,,,,id:7723,,,,,,4,Presentación,1kg,,0,,,,,,,,,,
7735,variation,,Pizza de Pepperoni - Pequeña,1,0,visible,,"La pizza pequeña trae 4 porciones, ideal para disfrutar solo.",,,taxable,parent,1,,,0,0,,,,,0,,,"3,5","128,45",,,,,,,id:7684,,,,,,1,Tamaño,Pequeña,,0,,,,,,,,,,
7736,variation,,Pizza de Pepperoni - Grande,1,0,visible,,"La pizza grande trae 8 porciones, ideal para compartir con la familia o los amigos. ",,,taxable,parent,1,,,0,0,,,,,0,,,6,"220,2",,,,,,,id:7684,,,,,,2,Tamaño,Grande,,0,,,,,,,,,,
7737,variation,,"Refresco - Coca-Cola, Lata 355ml",0,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2,"86,3",,,,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/lata.png,,,id:7685,,,,,,16,Sabor:,Coca-Cola,,0,Presentación,Lata 355ml,,0,,,,,,
7738,variation,,"Refresco - Coca-Cola, 355ml",0,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,5","64,725",,,,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/unnamed.png,,,id:7685,,,,,,17,Sabor:,Coca-Cola,,0,Presentación,355ml,,0,,,,,,
7739,variation,,"Refresco - Coca-Cola, 1 Litro",0,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,66","71,629",,,,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/1-litro.png,,,id:7685,,,,,,18,Sabor:,Coca-Cola,,0,Presentación,1 Litro,,0,,,,,,
7740,variation,,"Refresco - Coca-Cola, 1.5 Litros",0,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"1,9","81,985",,,,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/coca-1.5.png,,,id:7685,,,,,,19,Sabor:,Coca-Cola,,0,Presentación,1.5 Litros,,0,,,,,,
7741,variation,,"Refresco - Coca-Cola, 2 Litros",0,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,64","113,916",,,,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/03/Pet-2-Litros-Coca-Cola-PNG.png,,,id:7685,,,,,,20,Sabor:,Coca-Cola,,0,Presentación,2 Litros,,0,,,,,,
7743,simple,,Sándwich de jamón y queso,1,0,visible,"Disfruta de un delicioso sándwich de jamón y queso, con pan deli, lechuga fresca, tomates confitados y salsas tradicionales. Un bocado irresistible que te hará agua la boca.","¿Te apetece un sándwich de jamón y queso? Prueba nuestro sándwich elaborado con pan deli, jamón de primera calidad, queso amarillo fundido, lechuga crujiente, tomates confitados al horno y salsas tradicionales. Un sándwich lleno de sabor, textura y aroma que te encantará.",,,taxable,,1,,,0,0,,,,,1,,,"3,5","151,025",Sándwiches,"Menú en Tienda, Menú La Brioche Café & Market, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Sandwich-de-jamon-y-queso.png,,,,,,,,,0,,,,,,,,,,,,,,
7745,simple,,Sándwich de pollo ahumado,1,0,visible,"¿Te apetece un bocado delicioso y lleno de sabor? Prueba nuestro Sándwich de Pollo Ahumado, una combinación perfecta de pan deli, pollo ahumado, jamón, queso amarillo, lechuga, tomates confitados y salsas tradicionales. ¡No te arrepentirás!","Nuestro Sándwich de Pollo Ahumado es una opción ideal para los amantes de la comida casera. Disfruta de un pan deli suave y crujiente, relleno de pollo ahumado jugoso y tierno, jamón de calidad, queso amarillo derretido, lechuga fresca y crujiente, tomates confitados dulces y ácidos y salsas tradicionales que le dan el toque final. ¡Un sándwich que te hará sentir como en casa!",,,taxable,,1,,,0,0,,,,,1,,,6,"258,9",Sándwiches,"Menú en Tienda, Menú La Brioche Café & Market, Pick Up",,https://le-petit.labrioche.com.ve/wp-content/uploads/2024/05/Sandwich-de-pollo-ahumado.png,,,,,,,,,0,,,,,,,,,,,,,,
